scenario,year,dscr,ebitda,interest_expense,fixed_assets,debt_outstanding,total_equity,total_assets,ebitda_to_fixed_assets,ebitda_to_interest,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating
baseline,2046,1.048,201877275.18,65657108.04,1065000000.0,1313142160.84,0.0,1313142160.84,15.373604,3.074721,6.404656,999.0,100.0,False,AAA,BBB,B,A,B,B
baseline,2047,1.04,201877275.18,59702659.66,946666666.67,1194053193.25,0.0,1194053193.25,16.906891,3.381378,5.814748,999.0,100.0,False,AAA,BBB,B,A,B,B
baseline,2048,1.031,201877275.18,53450488.86,828333333.33,1069009777.29,0.0,1069009777.29,18.884512,3.776902,5.195345,999.0,100.0,False,AAA,BBB,B,A,B,B
baseline,2049,1.022,201877275.18,46885709.53,710000000.0,937714190.52,0.0,937714190.52,21.528657,4.305731,4.544972,999.0,100.0,False,AAA,A,B,A,B,B
baseline,2050,1.013,201877275.18,39992691.22,591666666.67,799853824.42,0.0,799853824.42,25.239271,5.047854,3.86208,999.0,100.0,False,AAA,A,B,AA,B,B
baseline,2051,1.003,201877275.18,32755022.0,473333333.33,655100440.02,0.0,655100440.02,30.816233,6.163247,3.145043,999.0,100.0,False,AAA,AA,B,AA,B,B
baseline,2052,0.993,201877275.18,25155469.32,355000000.0,503109386.39,0.0,503109386.39,40.125921,8.025184,2.392155,999.0,100.0,False,AAA,AA,CCC,AA,B,B
baseline,2053,0.982,201877275.18,17175939.0,236666666.67,343518780.08,0.0,343518780.08,58.767464,11.753493,1.601622,999.0,100.0,False,AAA,AA,CCC,AA,B,B
baseline,2054,0.971,201877275.18,8797432.17,118333333.33,175948643.46,0.0,175948643.46,114.736477,22.947295,0.771562,999.0,100.0,False,AAA,AAA,CCC,AAA,B,B
baseline,2055,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2056,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2057,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2058,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2059,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2060,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2061,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2062,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2063,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
baseline,2064,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_transition,2025,0.824,155981062.65,142000000.0,3550000000.0,2840000000.0,710000000.0,3550000000.0,4.393833,1.098458,18.107338,400.0,80.0,False,BBB,BB,CCC,B,BB,BBB
moderate_transition,2026,0.824,155981062.65,139862696.22,3431666666.67,2797253924.37,634412742.29,3431666666.67,4.545344,1.115244,17.833292,440.920199,81.512985,False,BBB,BB,CCC,B,B,BB
moderate_transition,2027,0.824,155981062.65,137618527.25,3313333333.33,2752370544.96,560962788.37,3313333333.33,4.707678,1.133431,17.545543,490.651181,83.069534,False,BBB,BB,CCC,B,B,BB
moderate_transition,2028,0.824,155981062.65,135262149.83,3195000000.0,2705242996.58,489757003.42,3195000000.0,4.882036,1.153176,17.243407,552.364331,84.671142,False,BBB,BB,CCC,B,B,BB
moderate_transition,2029,0.824,155981062.65,132787953.54,3076666666.67,2655759070.78,420907595.88,3076666666.67,5.069807,1.174663,16.926163,630.96012,86.319363,False,BBB,BB,CCC,B,B,BB
moderate_transition,2030,0.824,155981062.65,130190047.43,2958333333.33,2603800948.7,354532384.64,2958333333.33,5.272599,1.198103,16.593058,734.43247,88.015807,False,BBB,BB,CCC,B,B,BB
moderate_transition,2031,0.824,155981062.65,127462246.03,2840000000.0,2549244920.5,290755079.5,2840000000.0,5.492291,1.223743,16.243298,876.767114,89.762145,False,BBB,BB,CCC,B,B,BB
moderate_transition,2032,0.824,155981062.65,124598054.54,2721666666.67,2491961090.9,229705575.77,2721666666.67,5.731086,1.251874,15.876049,1084.850066,91.560114,False,BBB,BB,CCC,B,B,B
moderate_transition,2033,0.824,155981062.65,121590653.49,2603333333.33,2431813069.82,171520263.52,2603333333.33,5.99159,1.282838,15.490438,1417.799285,93.411514,False,BBB,BB,CCC,B,B,B
moderate_transition,2034,0.824,155981062.65,118432882.38,2485000000.0,2368657647.68,116342352.32,2485000000.0,6.276904,1.317042,15.085546,2035.937559,95.318215,False,BBB,BB,CCC,B,B,B
moderate_transition,2035,0.824,155981062.65,115117222.72,2366666666.67,2302344454.43,64322212.23,2366666666.67,6.590749,1.354976,14.66041,3579.392522,97.28216,False,BBB,BB,CCC,B,B,B
moderate_transition,2036,0.824,155981062.65,111635780.08,2248333333.33,2232715601.53,15617731.8,2248333333.33,6.937631,1.397232,14.214017,14296.029855,99.305364,False,BBB,BB,CCC,B,B,B
moderate_transition,2037,0.824,155981062.65,107980265.3,2130000000.0,2159605305.98,0.0,2159605305.98,7.222665,1.444533,13.745304,999.0,100.0,False,BBB,BB,CCC,B,B,B
moderate_transition,2038,0.824,155981062.65,104141974.78,2011666666.67,2082839495.65,0.0,2082839495.65,7.488866,1.497773,13.253156,999.0,100.0,False,BBB,BB,CCC,B,B,B
moderate_transition,2039,0.824,155981062.65,100111769.74,1893333333.33,2002235394.8,0.0,2002235394.8,7.790346,1.558069,12.736401,999.0,100.0,False,BBB,BB,CCC,B,B,B
moderate_transition,2040,0.824,155981062.65,95880054.45,1775000000.0,1917601088.91,0.0,1917601088.91,8.134177,1.626835,12.193807,999.0,100.0,False,A,BB,CCC,B,B,B
moderate_transition,2041,0.824,155981062.65,91436753.39,1656666666.67,1828735067.73,0.0,1828735067.73,8.529451,1.70589,11.624084,999.0,100.0,False,A,BB,CCC,BB,B,B
moderate_transition,2042,0.824,155981062.65,86771287.27,1538333333.33,1735425745.49,0.0,1735425745.49,8.988057,1.797611,11.025875,999.0,100.0,False,A,BB,CCC,BB,B,B
moderate_transition,2043,0.824,155981062.65,81872547.86,1420000000.0,1637450957.14,0.0,1637450957.14,9.525846,1.905169,10.397755,999.0,100.0,False,A,BB,CCC,BB,B,B
moderate_transition,2044,0.824,155981062.65,76728871.47,1301666666.67,1534577429.37,0.0,1534577429.37,10.164431,2.032886,9.738229,999.0,100.0,False,A,BBB,CCC,BBB,B,B
moderate_transition,2045,0.824,155981062.65,71328011.26,1183333333.33,1426560225.21,0.0,1426560225.21,10.934068,2.186814,9.045727,999.0,100.0,False,A,BBB,CCC,BBB,B,B
moderate_transition,2046,0.824,155981062.65,65657108.04,1065000000.0,1313142160.84,0.0,1313142160.84,11.87846,2.375692,8.3186,999.0,100.0,False,AA,BBB,CCC,BBB,B,B
moderate_transition,2047,0.824,155981062.65,59702659.66,946666666.67,1194053193.25,0.0,1194053193.25,13.063159,2.612632,7.555116,999.0,100.0,False,AA,BBB,CCC,BBB,B,B
moderate_transition,2048,0.824,155981062.65,53450488.86,828333333.33,1069009777.29,0.0,1069009777.29,14.591173,2.918235,6.753459,999.0,100.0,False,AA,BBB,CCC,A,B,B
moderate_transition,2049,0.824,155981062.65,46885709.53,710000000.0,937714190.52,0.0,937714190.52,16.63418,3.326836,5.911718,999.0,100.0,False,AAA,BBB,CCC,A,B,B
moderate_transition,2050,0.824,155981062.65,39992691.22,591666666.67,799853824.42,0.0,799853824.42,19.501196,3.900239,5.027891,999.0,100.0,False,AAA,BBB,CCC,A,B,B
moderate_transition,2051,0.817,155981062.65,32755022.0,473333333.33,655100440.02,0.0,655100440.02,23.810252,4.76205,4.099872,999.0,100.0,False,AAA,A,CCC,A,B,B
moderate_transition,2052,0.807,155981062.65,25155469.32,355000000.0,503109386.39,0.0,503109386.39,31.003409,6.200682,3.125452,999.0,100.0,False,AAA,AA,CCC,AA,B,B
moderate_transition,2053,0.796,155981062.65,17175939.0,236666666.67,343518780.08,0.0,343518780.08,45.406852,9.08137,2.102311,999.0,100.0,False,AAA,AA,CC,AA,B,B
moderate_transition,2054,0.785,155981062.65,8797432.17,118333333.33,175948643.46,0.0,175948643.46,88.651472,17.730294,1.028013,999.0,100.0,False,AAA,AAA,CC,AA,B,B
moderate_transition,2055,0.0,155981062.65,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_transition,2056,0.0,155981062.65,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_transition,2057,0.0,155981062.65,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_transition,2058,0.0,155981062.65,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_transition,2059,0.0,155981062.65,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
aggressive_transition,2025,0.451,87136743.86,142000000.0,3550000000.0,2840000000.0,710000000.0,3550000000.0,2.454556,0.613639,32.49245,400.0,80.0,False,BB,B,C,CCC,BB,BBB
aggressive_transition,2026,0.451,87136743.86,139862696.22,3431666666.67,2797253924.37,634412742.29,3431666666.67,2.539196,0.623016,32.001887,440.920199,81.512985,False,BB,B,C,CCC,B,BB
aggressive_transition,2027,0.451,87136743.86,137618527.25,3313333333.33,2752370544.96,560962788.37,3313333333.33,2.629882,0.633176,31.486796,490.651181,83.069534,False,BB,B,C,CCC,B,BB
aggressive_transition,2028,0.451,87136743.86,135262149.83,3195000000.0,2705242996.58,489757003.42,3195000000.0,2.727285,0.644206,30.94595,552.364331,84.671142,False,BB,B,C,CCC,B,BB
aggressive_transition,2029,0.451,87136743.86,132787953.54,3076666666.67,2655759070.78,420907595.88,3076666666.67,2.83218,0.65621,30.378062,630.96012,86.319363,False,BB,B,C,CCC,B,BB
aggressive_transition,2030,0.451,87136743.86,130190047.43,2958333333.33,2603800948.7,354532384.64,2958333333.33,2.945467,0.669304,29.781779,734.43247,88.015807,False,BB,B,C,CCC,B,BB
aggressive_transition,2031,0.451,87136743.86,127462246.03,2840000000.0,2549244920.5,290755079.5,2840000000.0,3.068195,0.683628,29.155683,876.767114,89.762145,False,BB,B,C,CCC,B,BB
aggressive_transition,2032,0.451,87136743.86,124598054.54,2721666666.67,2491961090.9,229705575.77,2721666666.67,3.201595,0.699343,28.498281,1084.850066,91.560114,False,BB,B,C,CCC,B,B
aggressive_transition,2033,0.451,87136743.86,121590653.49,2603333333.33,2431813069.82,171520263.52,2603333333.33,3.347122,0.71664,27.808009,1417.799285,93.411514,False,BB,B,C,CCC,B,B
aggressive_transition,2034,0.451,87136743.86,118432882.38,2485000000.0,2368657647.68,116342352.32,2485000000.0,3.506509,0.735748,27.083224,2035.937559,95.318215,False,BB,B,C,CCC,B,B
aggressive_transition,2035,0.451,87136743.86,115117222.72,2366666666.67,2302344454.43,64322212.23,2366666666.67,3.681834,0.756939,26.3222,3579.392522,97.28216,False,BB,B,C,CCC,B,B
aggressive_transition,2036,0.451,87136743.86,111635780.08,2248333333.33,2232715601.53,15617731.8,2248333333.33,3.875615,0.780545,25.523124,14296.029855,99.305364,False,BB,B,C,CCC,B,B
aggressive_transition,2037,0.451,87136743.86,107980265.3,2130000000.0,2159605305.98,0.0,2159605305.98,4.034846,0.806969,24.684095,999.0,100.0,False,BBB,B,C,CCC,B,B
aggressive_transition,2038,0.451,87136743.86,104141974.78,2011666666.67,2082839495.65,0.0,2082839495.65,4.183555,0.836711,23.803114,999.0,100.0,False,BBB,B,C,CCC,B,B
aggressive_transition,2039,0.451,87136743.86,100111769.74,1893333333.33,2002235394.8,0.0,2002235394.8,4.351973,0.870395,22.878084,999.0,100.0,False,BBB,B,C,CCC,B,B
aggressive_transition,2040,0.451,87136743.86,95880054.45,1775000000.0,1917601088.91,0.0,1917601088.91,4.54405,0.90881,21.906802,999.0,100.0,False,BBB,B,C,CCC,B,B
aggressive_transition,2041,0.451,87136743.86,91436753.39,1656666666.67,1828735067.73,0.0,1828735067.73,4.764864,0.952973,20.886957,999.0,100.0,False,BBB,B,C,CCC,B,B
aggressive_transition,2042,0.451,87136743.86,86771287.27,1538333333.33,1735425745.49,0.0,1735425745.49,5.021059,1.004212,19.816119,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2043,0.451,87136743.86,81872547.86,1420000000.0,1637450957.14,0.0,1637450957.14,5.321487,1.064297,18.691739,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2044,0.451,87136743.86,76728871.47,1301666666.67,1534577429.37,0.0,1534577429.37,5.678224,1.135645,17.51114,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2045,0.451,87136743.86,71328011.26,1183333333.33,1426560225.21,0.0,1426560225.21,6.108171,1.221634,16.271512,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2046,0.451,87136743.86,65657108.04,1065000000.0,1313142160.84,0.0,1313142160.84,6.635743,1.327149,14.969902,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2047,0.451,87136743.86,59702659.66,946666666.67,1194053193.25,0.0,1194053193.25,7.29756,1.459512,13.603211,999.0,100.0,False,BBB,BB,C,B,B,B
aggressive_transition,2048,0.451,87136743.86,53450488.86,828333333.33,1069009777.29,0.0,1069009777.29,8.151164,1.630233,12.168186,999.0,100.0,False,A,BB,C,B,B,B
aggressive_transition,2049,0.451,87136743.86,46885709.53,710000000.0,937714190.52,0.0,937714190.52,9.292463,1.858493,10.66141,999.0,100.0,False,A,BB,C,BB,B,B
moderate_physical,2025,1.072,201877275.18,142000000.0,3550000000.0,2840000000.0,710000000.0,3550000000.0,5.686684,1.421671,13.967953,400.0,80.0,False,BBB,BB,B,B,BB,BBB
moderate_physical,2026,1.072,201877275.18,139862696.22,3431666666.67,2797253924.37,634412742.29,3431666666.67,5.882776,1.443396,13.75621,440.920199,81.512985,False,BBB,BB,B,B,B,BB
moderate_physical,2027,1.072,201877275.18,137618527.25,3313333333.33,2752370544.96,560962788.37,3313333333.33,6.092876,1.466934,13.53388,490.651181,83.069534,False,BBB,BB,B,B,B,BB
moderate_physical,2028,1.072,201877275.18,135262149.83,3195000000.0,2705242996.58,489757003.42,3195000000.0,6.318538,1.492489,13.300433,552.364331,84.671142,False,BBB,BB,B,B,B,BB
moderate_physical,2029,1.072,201877275.18,132787953.54,3076666666.67,2655759070.78,420907595.88,3076666666.67,6.561558,1.520298,13.055315,630.96012,86.319363,False,BBB,BB,B,B,B,BB
moderate_physical,2030,1.072,201877275.18,130190047.43,2958333333.33,2603800948.7,354532384.64,2958333333.33,6.824021,1.550635,12.79794,734.43247,88.015807,False,BBB,BB,B,B,B,BB
moderate_physical,2031,1.072,201877275.18,127462246.03,2840000000.0,2549244920.5,290755079.5,2840000000.0,7.108355,1.58382,12.527696,876.767114,89.762145,False,BBB,BB,B,B,B,BB
moderate_physical,2032,1.072,201877275.18,124598054.54,2721666666.67,2491961090.9,229705575.77,2721666666.67,7.417414,1.620228,12.243941,1084.850066,91.560114,False,BBB,BB,B,B,B,B
moderate_physical,2033,1.072,201877275.18,121590653.49,2603333333.33,2431813069.82,171520263.52,2603333333.33,7.754569,1.660303,11.945997,1417.799285,93.411514,False,BBB,BB,B,BB,B,B
moderate_physical,2034,1.072,201877275.18,118432882.38,2485000000.0,2368657647.68,116342352.32,2485000000.0,8.123834,1.704571,11.633156,2035.937559,95.318215,False,A,BB,B,BB,B,B
moderate_physical,2035,1.072,201877275.18,115117222.72,2366666666.67,2302344454.43,64322212.23,2366666666.67,8.530026,1.753667,11.304674,3579.392522,97.28216,False,A,BB,B,BB,B,B
moderate_physical,2036,1.072,201877275.18,111635780.08,2248333333.33,2232715601.53,15617731.8,2248333333.33,8.978974,1.808356,10.959767,14296.029855,99.305364,False,A,BB,B,BB,B,B
moderate_physical,2037,1.072,201877275.18,107980265.3,2130000000.0,2159605305.98,0.0,2159605305.98,9.347878,1.869576,10.597615,999.0,100.0,False,A,BB,B,BB,B,B
moderate_physical,2038,1.072,201877275.18,104141974.78,2011666666.67,2082839495.65,0.0,2082839495.65,9.692407,1.938481,10.217355,999.0,100.0,False,A,BB,B,BB,B,B
moderate_physical,2039,1.072,201877275.18,100111769.74,1893333333.33,2002235394.8,0.0,2002235394.8,10.082594,2.016519,9.818082,999.0,100.0,False,A,BBB,B,BBB,B,B
moderate_physical,2040,1.072,201877275.18,95880054.45,1775000000.0,1917601088.91,0.0,1917601088.91,10.527595,2.105519,9.398846,999.0,100.0,False,A,BBB,B,BBB,B,B
moderate_physical,2041,1.072,201877275.18,91436753.39,1656666666.67,1828735067.73,0.0,1828735067.73,11.039176,2.207835,8.958647,999.0,100.0,False,AA,BBB,B,BBB,B,B
moderate_physical,2042,1.072,201877275.18,86771287.27,1538333333.33,1735425745.49,0.0,1735425745.49,11.632723,2.326545,8.496439,999.0,100.0,False,AA,BBB,B,BBB,B,B
moderate_physical,2043,1.07,201877275.18,81872547.86,1420000000.0,1637450957.14,0.0,1637450957.14,12.328752,2.46575,8.011121,999.0,100.0,False,AA,BBB,B,BBB,B,B
moderate_physical,2044,1.063,201877275.18,76728871.47,1301666666.67,1534577429.37,0.0,1534577429.37,13.155236,2.631047,7.501536,999.0,100.0,False,AA,BBB,B,BBB,B,B
moderate_physical,2045,1.056,201877275.18,71328011.26,1183333333.33,1426560225.21,0.0,1426560225.21,14.151332,2.830266,6.966473,999.0,100.0,False,AA,BBB,B,A,B,B
moderate_physical,2046,1.048,201877275.18,65657108.04,1065000000.0,1313142160.84,0.0,1313142160.84,15.373604,3.074721,6.404656,999.0,100.0,False,AAA,BBB,B,A,B,B
moderate_physical,2047,1.04,201877275.18,59702659.66,946666666.67,1194053193.25,0.0,1194053193.25,16.906891,3.381378,5.814748,999.0,100.0,False,AAA,BBB,B,A,B,B
moderate_physical,2048,1.031,201877275.18,53450488.86,828333333.33,1069009777.29,0.0,1069009777.29,18.884512,3.776902,5.195345,999.0,100.0,False,AAA,BBB,B,A,B,B
moderate_physical,2049,1.022,201877275.18,46885709.53,710000000.0,937714190.52,0.0,937714190.52,21.528657,4.305731,4.544972,999.0,100.0,False,AAA,A,B,A,B,B
moderate_physical,2050,1.013,201877275.18,39992691.22,591666666.67,799853824.42,0.0,799853824.42,25.239271,5.047854,3.86208,999.0,100.0,False,AAA,A,B,AA,B,B
moderate_physical,2051,1.003,201877275.18,32755022.0,473333333.33,655100440.02,0.0,655100440.02,30.816233,6.163247,3.145043,999.0,100.0,False,AAA,AA,B,AA,B,B
moderate_physical,2052,0.993,201877275.18,25155469.32,355000000.0,503109386.39,0.0,503109386.39,40.125921,8.025184,2.392155,999.0,100.0,False,AAA,AA,CCC,AA,B,B
moderate_physical,2053,0.982,201877275.18,17175939.0,236666666.67,343518780.08,0.0,343518780.08,58.767464,11.753493,1.601622,999.0,100.0,False,AAA,AA,CCC,AA,B,B
moderate_physical,2054,0.971,201877275.18,8797432.17,118333333.33,175948643.46,0.0,175948643.46,114.736477,22.947295,0.771562,999.0,100.0,False,AAA,AAA,CCC,AAA,B,B
moderate_physical,2055,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2056,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2057,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2058,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2059,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2060,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2061,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2062,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2063,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
moderate_physical,2064,0.0,201877275.18,0.0,0.0,0.0,0.0,0.0,0,999.0,-0.1,999.0,100,False,B,AAA,C,AAA,B,B
high_physical,2025,1.072,201870105.26,142000000.0,3550000000.0,2840000000.0,710000000.0,3550000000.0,5.686482,1.42162,13.968453,400.0,80.0,False,BBB,BB,B,B,BB,BBB
high_physical,2026,1.071,201862935.37,139862696.22,3431666666.67,2797253924.37,634412742.29,3431666666.67,5.882358,1.443294,13.757194,440.920199,81.512985,False,BBB,BB,B,B,B,BB
high_physical,2027,1.071,201855765.53,137618527.25,3313333333.33,2752370544.96,560962788.37,3313333333.33,6.092226,1.466778,13.535333,490.651181,83.069534,False,BBB,BB,B,B,B,BB
high_physical,2028,1.071,201848595.73,135262149.83,3195000000.0,2705242996.58,489757003.42,3195000000.0,6.31764,1.492277,13.302337,552.364331,84.671142,False,BBB,BB,B,B,B,BB
high_physical,2029,1.07,201841425.98,132787953.54,3076666666.67,2655759070.78,420907595.88,3076666666.67,6.560393,1.520028,13.057651,630.96012,86.319363,False,BBB,BB,B,B,B,BB
high_physical,2030,1.07,201834256.27,130190047.43,2958333333.33,2603800948.7,354532384.64,2958333333.33,6.822566,1.550305,12.800689,734.43247,88.015807,False,BBB,BB,B,B,B,BB
high_physical,2031,1.07,201829954.46,127462246.03,2840000000.0,2549244920.5,290755079.5,2840000000.0,7.106689,1.583449,12.530657,876.767114,89.762145,False,BBB,BB,B,B,B,BB
high_physical,2032,1.069,201825652.67,124598054.54,2721666666.67,2491961090.9,229705575.77,2721666666.67,7.415517,1.619814,12.247098,1084.850066,91.560114,False,BBB,BB,B,B,B,B
high_physical,2033,1.069,201821350.89,121590653.49,2603333333.33,2431813069.82,171520263.52,2603333333.33,7.752421,1.659843,11.949335,1417.799285,93.411514,False,BBB,BB,B,BB,B,B
high_physical,2034,1.069,201817049.13,118432882.38,2485000000.0,2368657647.68,116342352.32,2485000000.0,8.12141,1.704063,11.636658,2035.937559,95.318215,False,A,BB,B,BB,B,B
high_physical,2035,1.069,201812747.39,115117222.72,2366666666.67,2302344454.43,64322212.23,2366666666.67,8.527299,1.753106,11.30832,3579.392522,97.28216,False,A,BB,B,BB,B,B
high_physical,2036,1.068,201808445.65,111635780.08,2248333333.33,2232715601.53,15617731.8,2248333333.33,8.975913,1.80774,10.963539,14296.029855,99.305364,False,A,BB,B,BB,B,B
