year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2037,514147859.66040456,324632958.58957946,28920817.105897754,73500000.0,940140.3395954344,427053775.69547725,87094083.96492732,118333333.33333333,-31239249.368406013,107980265.29884744,0.0,-139219514.66725343,4465012.500000001,90438883.80702882,0.35,0.34936117882991174,0.0,0.4472575191871118
2038,514139825.96497405,324627886.11428463,28920365.21052979,73500000.0,948174.0350259684,427048251.32481444,87091574.6401596,118333333.33333333,-31241758.69317372,104141974.78239053,0.0,-135383733.47556424,4503175.000000001,90398839.31345303,0.35,0.34935571996967685,0.0,0.44703736931583876
2039,514131792.2982229,324622813.657098,28919913.31677504,73500000.0,956207.7017770807,427042726.973873,87089065.32434988,118333333.33333333,-31244268.00898345,100111769.7401108,0.0,-131356037.74909425,4541337.5,90358794.82659574,0.35,0.3493502611289295,0.0,0.44681721949305375
2040,514123758.66015124,324617741.21801955,28919461.424633507,73500000.0,964241.3398487709,427037202.64265305,87086556.0174982,118333333.33333333,-31246777.315835133,95880054.44571707,0.0,-127126831.7615522,4579500.0,90318750.34645697,0.35,0.3493448023076696,0.0,0.4465970697187571
2041,514115725.05075896,324612668.7970492,28919009.53410519,73500000.0,972274.9492410393,427031678.3311544,87084046.71960455,118333333.33333333,-31249286.613728777,91436753.38660365,0.0,-122686040.00033243,4617662.499999999,90278705.87303674,0.35,0.3493393435058973,0.0,0.44637691999294893
2042,514107691.47004616,324607596.3941872,28918557.645190097,73500000.0,980308.5299537714,427026154.03937733,87081537.43066883,118333333.33333333,-31251795.902664497,86771287.27453455,0.0,-118023083.17719905,4655825.0,90238661.40633495,0.35,0.3493338847236126,0.0,0.44615677031562845
2043,514099657.91801286,324602524.0094334,28918105.757888224,73500000.0,988342.0819871386,427020629.7673216,87079028.15069127,118333333.33333333,-31254305.182642058,81872547.85686201,0.0,-113126853.03950407,4693987.5,90198616.94635178,0.35,0.3493284259608154,0.0,0.44593662068679707
2044,514091624.3946589,324597451.6427877,28917653.872199565,73500000.0,996375.6053410842,427015105.51498723,87076518.8796717,118333333.33333333,-31256814.453661636,76728871.46830583,0.0,-107985685.92196746,4732150.0,90158572.4930871,0.35,0.3493229672175058,0.0,0.44571647110645374
2045,514083590.8999845,324592379.29425025,28917201.988124125,73500000.0,1004409.1000155504,427009581.2823744,87074009.6176101,118333333.33333333,-31259323.71572323,71328011.26032184,0.0,-102587334.97604507,4770312.5,90118528.0465409,0.35,0.3493175084936837,0.0,0.4454963215745985
2046,514075557.4339895,324587306.963821,28916750.10566191,73500000.0,1012442.5660105376,427004057.0694829,87071500.3645066,118333333.33333333,-31261832.968826726,65657108.04193866,0.0,-96918941.01076539,4808475.0,90078483.60671328,0.35,0.3493120497893492,0.0,0.44527617209123194
2047,514067523.9966739,324582234.6514999,28916298.224812906,73500000.0,1020476.0033261029,426998532.87631285,87068991.12036103,118333333.33333333,-31264342.2129723,59702659.66263633,0.0,-90967001.87560862,4846637.500000001,90038439.1736041,0.35,0.34930659110450224,0.0,0.4450560226563532
2048,514059490.58803785,324577162.3572871,28915846.34557713,73500000.0,1028509.411962189,426993008.7028642,87066481.88517362,118333333.33333333,-31266851.44815971,53450488.86436888,0.0,-84717340.31252858,4884800.0,89998394.74721354,0.35,0.34930113243914285,0.0,0.44483587326996343
2049,514051457.2080811,324572090.0811824,28915394.46795456,73500000.0,1036542.7919188532,426987484.549137,87063972.65894413,118333333.33333333,-31269360.6743892,46885709.526188046,0.0,-78155070.20057724,4922962.500000001,89958350.32754143,0.35,0.34929567379327103,0.0,0.4446157239320615
