year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2035,514869306.5124,326087964.66409504,28961398.4913225,73500000.0,218693.48760000005,428549363.15541756,86319943.35698241,88750000.0,-2430056.64301759,87984902.3412298,0.0,-90414958.98424739,0.0,86927457.51773681,0.35,0.34985139875,0.0,0.37878073622213115
2036,514867836.966336,326123151.16702574,28961315.8293564,73500000.0,220163.03366400005,428584466.9963821,86283369.9699539,88750000.0,-2466630.0300461054,80989700.07721312,0.0,-83456330.10725923,0.0,86900027.47746542,0.35,0.3498504002,0.0,0.37862024846083236
2037,514866364.329744,326158335.50599104,28961232.9935481,73500000.0,221635.67025600004,428619568.49953914,86246795.83020484,88750000.0,-2503204.1697951555,73644737.69999562,0.0,-76147941.86979078,0.0,86872596.87265363,0.35,0.34984939955,0.0,0.37845975739651894
2038,514864888.60262394,326193517.68034047,28961149.983897597,73500000.0,223111.397376,428654667.6642381,86210220.93838584,88750000.0,-2539779.061614156,65932527.203917235,0.0,-68472306.26553139,0.0,86845165.70378938,0.35,0.34984839679999996,0.0,0.3782992630320457
2039,514863409.784976,326228697.6894238,28961066.800404903,73500000.0,224590.21502400003,428689764.4898287,86173645.2951473,88750000.0,-2576354.7048527002,57834706.183034934,0.0,-60411060.887887634,0.0,86817733.97136047,0.35,0.34984739195,0.0,0.3781387653702667
2040,514861927.8768,326263875.5325905,28960983.443070002,73500000.0,226072.12320000006,428724858.9756605,86137068.9011395,88750000.0,-2612931.0988605022,49331994.11110852,0.0,-51944925.20996902,0.0,86790301.67585462,0.35,0.349846385,0.0,0.37797826441403537
2041,514860442.87809604,326299051.2091902,28960899.911892902,73500000.0,227557.12190399997,428759951.1210831,86100491.75701296,88750000.0,-2649508.2429870367,40404146.43558578,0.0,-43053654.67857282,0.0,86762868.81775972,0.35,0.34984537595,0.0,0.37781776016620644
2042,514858954.788864,326334224.7185725,28960816.206873603,73500000.0,229045.21113599997,428795040.9254461,86063913.86341792,88750000.0,-2686086.1365820765,31029906.37628691,0.0,-33715992.512868986,0.0,86735435.39756344,0.35,0.3498443648,0.0,0.377657252629633
2043,514857463.60910404,326369396.06008685,28960732.3280121,73500000.0,230536.39089600003,428830128.38809896,86027335.22100508,88750000.0,-2722664.778994918,21186954.314023092,0.0,-23909619.09301801,0.0,86708001.41575381,0.35,0.34984335154999996,0.0,0.3774967418071706
2044,514855969.3388159,326404565.2330831,28960648.275308397,73500000.0,232030.66118399994,428865213.5083915,85990755.83042443,88750000.0,-2759244.169575572,10851854.64864608,0.0,-13611098.818221653,0.0,86680566.87281832,0.35,0.3498423362,0.0,0.37733622770167125
2045,514854471.97800004,326439732.23691094,28960564.0487625,73500000.0,233528.022,428900296.28567344,85954175.6923266,88750000.0,-2795824.3076733947,0.0,0.0,-2795824.3076733947,0.0,86653131.76924495,0.35,0.34984131874999996,0.0,0.0
2046,514852971.52665603,326474897.07091975,28960479.6483744,73500000.0,235028.47334399997,428935376.71929413,85917594.8073619,88750000.0,-2832405.192638099,0.0,0.0,-2832405.192638099,0.0,86625696.10552143,0.35,0.3498402992,0.0,0.0
2047,514851467.984784,326510059.7344593,28960395.074144103,73500000.0,236532.015216,428970454.8086034,85881013.1761806,88750000.0,-2868986.823819399,0.0,0.0,-2868986.823819399,0.0,86598259.88213545,0.35,0.34983927755,0.0,0.0
2048,514849961.35238403,326545220.22687906,28960310.3260716,73500000.0,238038.64761600003,429005530.5529507,85844430.79943335,88750000.0,-2905569.2005666494,0.0,0.0,-2905569.2005666494,0.0,86570823.09957501,0.35,0.3498382538,0.0,0.0
2049,514848451.629456,326580378.54752874,28960225.4041569,73500000.0,239548.37054399995,429040603.95168567,85807847.67777032,88750000.0,-2942152.3222296834,0.0,0.0,-2942152.3222296834,0.0,86543385.75832774,0.35,0.34983722794999994,0.0,0.0
