year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr,water_temp_disruption,lost_revenue_from_water_temp
2044,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,10851854.64864608,24714398.316209532,74143194.9486286,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.7624110401606621,0.0001753424657534248,154821.6933580801
2045,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2046,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2047,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2048,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2049,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2050,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2051,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2052,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2053,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2054,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2055,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2056,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2057,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2058,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2059,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2060,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2061,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2062,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2063,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
2064,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,0.0,27427361.978371054,82282085.93511316,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.0,0.0001753424657534248,154821.6933580801
