year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2046,645385248.09941,450339802.801939,40119755.95123387,73500000.0,88421.05056849022,563959558.7531729,81425689.34623718,88750000.0,-7324310.653762817,0.0,0.0,-7324310.653762817,0.0,83256767.00967789,0.48470987124222364,0.48464347262972474,0.0,0.0
2047,636099142.3223833,445854994.6857998,39720214.52498612,73500000.0,87148.80700402566,559075209.2107859,77023933.11159742,88750000.0,-11726066.888402581,0.0,0.0,-11726066.888402581,0.0,79955449.83369806,0.47988278122931627,0.4798170438620246,0.0,0.0
2048,626962288.3540217,441414848.7517032,39324651.951668195,73500000.0,85897.01169393364,554239500.7033714,72722787.65065026,88750000.0,-16027212.349349737,0.0,0.0,-16027212.349349737,0.0,76729590.7379877,0.4751037620295428,0.4750386793224155,0.0,0.0
2049,617972072.3678039,437018920.2368199,38933028.60836414,73500000.0,84665.30653073078,549451948.8451841,68520123.52261984,88750000.0,-20229876.477380157,0.0,0.0,-20229876.477380157,0.0,73577592.64196488,0.4703723349356419,0.4703079003692124,0.0,0.0
2050,609125928.9578203,432666768.8073592,38545305.266730994,73500000.0,83453.3400408029,544712074.0740902,64413854.883730054,88750000.0,-24336145.116269946,0.0,0.0,-24336145.116269946,0.0,70497891.16279754,0.46568802600741616,0.4656242331271412,0.0,0.0
2051,600396309.835032,428340101.1192855,38159852.21406369,73500000.0,82257.33796890425,539999953.3333492,60396356.50168276,88750000.0,-28353643.49831724,0.0,0.0,-28353643.49831724,0.0,67484767.37626207,0.46103114574734194,0.4609679907958697,0.0,0.0
2052,591806490.2641524,424056700.1080927,37778253.69192305,73500000.0,81080.48914428723,535334953.8000158,56471536.4641366,88750000.0,-32278463.5358634,0.0,0.0,-32278463.5358634,0.0,64541152.34810245,0.45642083428986857,0.45635831088791107,0.0,0.0
2053,583354027.4327852,419816133.10701185,37400471.15500382,73500000.0,79922.45888927049,530716604.2620157,52637423.17076945,88750000.0,-36112576.82923055,0.0,0.0,-36112576.82923055,0.0,61665567.37807709,0.4518566259469699,0.45179472777903196,0.0,0.0
2054,575036523.7485131,415617971.7759418,37026466.44345379,73500000.0,78782.91872153898,526144438.2193956,48892085.529117525,88750000.0,-39857914.470882475,0.0,0.0,-39857914.470882475,0.0,58856564.14683814,0.4473380596875002,0.44727678050124164,0.0,0.0
2055,566851625.9729416,411461792.0581823,36656201.779019244,73500000.0,77661.54623550373,521617993.83720154,45233632.1357401,88750000.0,-43516367.8642599,0.0,0.0,-43516367.8642599,0.0,56112724.101805076,0.44286467909062516,0.4428040126962292,0.0,0.0
2056,558797024.3726337,407347174.1376005,36289639.76122905,73500000.0,76558.0249859753,517136813.8988295,41660210.473804176,88750000.0,-47089789.526195824,0.0,0.0,-47089789.526195824,0.0,53432657.85535313,0.43843603229971895,0.43837597256926697,0.0,0.0
2057,550870451.8866065,403273702.39622444,35926743.36361676,73500000.0,75472.04437410693,512700445.7598412,38170006.12676525,88750000.0,-50579993.87323475,0.0,0.0,-50579993.87323475,0.0,50815004.59507394,0.4340516719767217,0.4339922128435742,0.0,0.0
2058,543069683.3100611,399240965.37226224,35567475.92998059,73500000.0,74403.2995355612,508308441.3022428,34761242.00781828,88750000.0,-53988757.99218172,0.0,0.0,-53988757.99218172,0.0,48258431.50586371,0.42971115525695447,0.42965229071513844,0.0,0.0
2059,535392534.4940293,395248555.7185396,35211801.17068079,73500000.0,73351.49123085757,503960356.88922036,31432177.604808927,88750000.0,-57317822.39519107,0.0,0.0,-57317822.39519107,0.0,45761633.203606695,0.4254140437043849,0.42535576780798706,0.0,0.0
2060,527836861.5606179,391296070.1613542,34859683.15897398,73500000.0,72316.32573785695,499655753.3203282,28181108.240289748,88750000.0,-60568891.75971025,0.0,0.0,-60568891.75971025,0.0,43323331.18021731,0.42115990326734104,0.4211022101299072,0.0,0.0
2061,520400560.1335514,387383109.4597407,34511086.32738424,73500000.0,71297.51474634216,495394195.78712493,25006364.346426487,88750000.0,-63743635.65357351,0.0,0.0,-63743635.65357351,0.0,40942273.259819865,0.41694830423466767,0.41689118802860814,0.0,0.0
2062,513081564.58370364,383509278.36514324,34165975.4641104,73500000.0,70294.77525465183,491175253.8292536,21906310.754450023,88750000.0,-66843689.24554998,0.0,0.0,-66843689.24554998,0.0,38617233.06583752,0.41277882119232095,0.412722276148322,0.0,0.0
2063,505877847.2893295,379674185.58149177,33824315.70946929,73500000.0,69307.82946832848,486998501.290961,18879345.9983685,88750000.0,-69870654.0016315,0.0,0.0,-69870654.0016315,0.0,36347009.498776376,0.40865103298039773,0.40859505338683877,0.0,0.0
2064,498787417.91070515,375877443.72567683,33486072.552374598,73500000.0,68336.40470074055,482863516.27805144,15923901.632653713,88750000.0,-72826098.36734629,0.0,0.0,-72826098.36734629,0.0,34130426.224490285,0.4045645226505938,0.4045091028529704,0.0,0.0
