year,revenue,fuel_costs,variable_opex,fixed_opex,carbon_costs,outage_costs,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor
2038,1491533119.9109464,530175732.51181996,78479960.40471019,88200000.0,0.0,30439451.426754013,696855692.9165301,794677426.9944162,163333333.33333334,631344093.6610829,102296050.5004917,126971530.35854188,402076512.8020493,0.0,643154844.5157564,0.967379288368296
2039,1514467179.1759343,535477489.8369383,79264760.00875732,88200000.0,0.0,30907493.452570084,702942249.8456956,811524929.3302387,163333333.33333334,648191595.9969053,90146119.82131083,133930914.28214267,424114561.8934518,0.0,655958946.2909814,0.9770530812519791
2040,1537791755.4676948,540832264.7353076,80057407.60884486,88200000.0,0.0,31383505.21362643,709089672.3441525,828702083.1235423,163333333.33333334,665368749.7902089,77255043.37069994,141147289.54068214,446966416.8788268,0.0,669013583.1738921,0.9868236120644989
2041,1561513993.6028242,546240587.3826607,80857981.68493333,88200000.0,0.0,31867632.52250662,715298569.067594,846215424.5352302,163333333.33333334,682882091.2018968,63577611.256601796,148633075.18687078,470671404.75842416,0.0,682323722.6467749,0.9966918481851439
2042,1575152601.325832,548053632.0,81126360.0,88200000.0,0.0,32145971.455629222,717379992.0,857772609.3258319,163333333.33333334,694439275.9924985,49065855.78354365,154889620.85014915,490483799.35880566,0.0,691107183.0876322,1.0
2043,1583692895.33909,548053632.0,81126360.0,88200000.0,0.0,32320263.17018551,717379992.0,866312903.3390901,163333333.33333334,702979570.0057567,33668883.22662895,160634564.82699066,508676121.9521372,0.0,697597806.5377085,1.0
2044,1592318592.292481,548053632.0,81126360.0,88200000.0,0.0,32496297.801887363,717379992.0,874938600.292481,163333333.33333334,711605266.9591476,17332695.343742464,166625417.1876972,527647154.4277079,0.0,704153336.2222855,1.0
2045,1601030546.215406,548053632.0,81126360.0,88200000.0,0.0,32674092.779906243,717379992.0,883650554.215406,163333333.33333334,720317220.8820726,0.0,172876133.0116974,547441087.8703752,0.0,710774421.2037085,1.0
2046,1609829619.67756,548053632.0,81126360.0,88200000.0,0.0,32853665.707705308,717379992.0,892449627.6775601,163333333.33333334,729116294.3442267,0.0,174987910.6426144,554128383.7016124,0.0,717461717.0349457,1.0
2047,1618716683.8743358,548053632.0,81126360.0,88200000.0,0.0,33035034.364782363,717379992.0,901336691.8743358,163333333.33333334,738003358.5410024,0.0,177120806.04984057,560882552.4911618,0.0,724215885.8244952,1.0
2048,1627692618.713079,548053632.0,81126360.0,88200000.0,0.0,33218216.708430182,717379992.0,910312626.713079,163333333.33333334,746979293.3797456,0.0,179275030.41113895,567704262.9686067,0.0,731037596.3019401,1.0
2049,1636758312.90021,548053632.0,81126360.0,88200000.0,0.0,33403230.87551449,717379992.0,919378320.9002099,163333333.33333334,756044987.5668765,0.0,181450797.01605037,574594190.5508262,0.0,737927523.8841596,1.0
2050,1645914664.0292118,548053632.0,81126360.0,88200000.0,0.0,33590095.18426963,717379992.0,928534672.0292118,163333333.33333334,765201338.6958784,0.0,183648321.28701082,581553017.4088676,0.0,744886350.742201,1.0
2051,1655162578.669504,548053632.0,81126360.0,88200000.0,0.0,33778828.136112325,717379992.0,937782586.6695039,163333333.33333334,774449253.3361706,0.0,185867820.80068094,588581432.5354896,0.0,751914765.868823,1.0
2052,1664502972.456199,548053632.0,81126360.0,88200000.0,0.0,33969448.41747345,717379992.0,947122980.4561989,163333333.33333334,783789647.1228656,0.0,188109515.30948773,595680131.8133779,0.0,759013465.1467112,1.0
2053,1673936770.1807609,548053632.0,81126360.0,88200000.0,0.0,34161974.901648186,717379992.0,956556778.1807609,163333333.33333334,793223444.8474275,0.0,190373626.76338258,602849818.0840449,0.0,766183151.4173783,1.0
2054,1683464905.8825684,548053632.0,81126360.0,88200000.0,0.0,34356426.650664665,717379992.0,966084913.8825684,163333333.33333334,802751580.549235,0.0,192660379.33181638,610091201.2174187,0.0,773424534.5507519,1.0
2055,1693088322.9413946,548053632.0,81126360.0,88200000.0,0.0,34552822.917171314,717379992.0,975708330.9413946,163333333.33333334,812374997.6080612,0.0,194969999.42593467,617404998.1821265,0.0,780738331.5154599,1.0
2056,1702807974.1708083,548053632.0,81126360.0,88200000.0,0.0,34751183.14634302,717379992.0,985427982.1708083,163333333.33333334,822094648.837475,0.0,197302715.72099397,624791933.116481,0.0,788125266.4498143,1.0
2057,1712624821.9125164,548053632.0,81126360.0,88200000.0,0.0,34951526.97780646,717379992.0,995244829.9125164,163333333.33333334,831911496.579183,0.0,199658759.1790039,632252737.4001791,0.0,795586070.7335124,1.0
2058,1722539838.1316416,548053632.0,81126360.0,88200000.0,0.0,35153874.24758452,717379992.0,1005159846.1316416,163333333.33333334,841826512.7983083,0.0,202038363.07159397,639788149.7267143,0.0,803121483.0600476,1.0
2059,1732554004.5129578,548053632.0,81126360.0,88200000.0,0.0,35358244.99006037,717379992.0,1015174012.5129578,163333333.33333334,851840679.1796244,0.0,204441763.00310987,647398916.1765146,0.0,810732249.509848,1.0
2060,1742668312.558087,548053632.0,81126360.0,88200000.0,0.0,35564659.439960964,717379992.0,1025288320.5580871,163333333.33333334,861954987.2247537,0.0,206869196.9339409,655085790.2908128,0.0,818419123.6241462,1.0
2061,1752883763.6836684,548053632.0,81126360.0,88200000.0,0.0,35773138.03436058,717379992.0,1035503771.6836684,163333333.33333334,872170438.350335,0.0,209320905.2040804,662849533.1462545,0.0,826182866.479588,1.0
2062,1763201369.3205051,548053632.0,81126360.0,88200000.0,0.0,35983701.41470418,717379992.0,1045821377.3205051,163333333.33333334,882488043.9871718,0.0,211797130.5569212,670690913.4302505,0.0,834024246.7635839,1.0
2063,1773622151.0137098,548053632.0,81126360.0,88200000.0,0.0,36196370.42885122,717379992.0,1056242159.0137098,163333333.33333334,892908825.6803764,0.0,214298118.16329032,678610707.517086,0.0,841944040.8504194,1.0
2064,1784147140.523847,548053632.0,81126360.0,88200000.0,0.0,36411166.13313974,717379992.0,1066767148.5238471,163333333.33333334,903433815.1905137,0.0,216824115.64572328,686609699.5447905,0.0,849943032.8781238,1.0
