year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2035,735598285.5336585,464897613.0432295,41377403.56126829,73500000.0,241714.4663414635,579775016.6044978,155823268.9291607,118333333.33333333,37489935.595827386,87984902.3412298,0.0,-50494966.74540241,0.0,146450785.03020388,0.5,0.499835756097561,0.0,0.6837684343864004
2036,735596978.9689755,464899170.2940237,41377330.067004874,73500000.0,243021.0310243903,579776500.3610286,155820478.607947,118333333.33333333,37487145.27461366,80989700.07721312,0.0,-43502554.80259946,0.0,146448692.2892936,0.5,0.4998348682926829,0.0,0.6837561901716509
2037,735595672.4042927,464900727.5363525,41377256.572741464,73500000.0,244327.59570731717,579777984.1090939,155817688.2951988,118333333.33333333,37484354.96186547,73644737.69999562,0.0,-36160382.73813015,0.0,146446599.55473244,0.5,0.49983398048780486,0.0,0.683743945994049
2038,735594365.8396096,464902284.770216,41377183.078478046,73500000.0,245634.16039024395,579779467.8486941,155814897.99091554,118333333.33333333,37481564.65758221,65932527.203917235,0.0,-28450962.546335027,0.0,146444506.82652,0.5,0.4998330926829268,0.0,0.683731701853592
2039,735593059.2749269,464903841.99561435,41377109.58421464,73500000.0,246940.7250731708,579780951.579829,155812107.69509792,118333333.33333333,37478774.361764595,57834706.183034934,0.0,-20355931.82127034,0.0,146442414.1046568,0.5,0.4998322048780488,0.0,0.6837194577502832
2040,735591752.7102439,464905399.212547,41377036.08995122,73500000.0,248247.28975609766,579782435.3024982,155809317.40774572,118333333.33333333,37475984.07441239,49331994.11110852,0.0,-11856010.036696129,0.0,146440321.38914263,0.5,0.49983131707317074,0.0,0.6837072136841215
2041,735590446.145561,464906956.42101455,41376962.59568781,73500000.0,249553.85443902444,579783919.0167024,155806527.12885857,118333333.33333333,37473193.79552524,40404146.43558578,0.0,-2930952.640060544,0.0,146438228.67997727,0.5,0.4998304292682927,0.0,0.6836949696551052
2042,735589139.580878,464908513.6210166,41376889.10142439,73500000.0,250860.41912195127,579785402.722441,155803736.85843706,118333333.33333333,37470403.52510373,31029906.37628691,1610124.287204206,4830372.861612618,0.0,146436135.97716114,0.5,0.49982954146341463,0.0,0.676617335682684
2043,735587833.0161952,464910070.8125534,41376815.60716098,73500000.0,252166.98380487808,579786886.4197145,155800946.59648073,118333333.33333333,37467613.2631474,21186954.314023092,4070164.7372810766,12210494.21184323,0.0,146434043.2806939,0.5,0.49982865365853657,0.0,0.665810182734999
2044,735586526.4515121,464911627.9956247,41376742.11289756,73500000.0,253473.54848780492,579788370.1085223,155798156.3429898,118333333.33333333,37464823.009656474,10851854.64864608,6653242.090252599,19959726.270757794,0.0,146431950.5905757,0.5,0.4998277658536585,0.0,0.6544631313160921
2045,735585219.8868293,464913185.17023087,41376668.61863415,73500000.0,254780.11317073175,579789853.7888651,155795366.09796417,118333333.33333333,37462032.76463084,0.0,9365508.19115771,28096524.57347313,0.0,146429857.90680647,0.5,0.4998268780487805,0.0,0.0
2046,735583913.3221464,464914742.3363715,41376595.12437073,73500000.0,256086.6778536586,579791337.4607422,155792575.86140418,118333333.33333333,37459242.52807085,0.0,9364810.632017713,28094431.89605314,0.0,146427765.22938648,0.5,0.49982599024390245,0.0,0.0
2047,735582606.7574633,464916299.4940469,41376521.63010731,73500000.0,257393.24253658537,579792821.1241542,155789785.63330913,118333333.33333333,37456452.2999758,0.0,9364113.07499395,28092339.22498185,0.0,146425672.5583152,0.5,0.4998251024390244,0.0,0.0
2048,735581300.1927805,464917856.64325696,41376448.1358439,73500000.0,258699.80721951224,579794304.7791009,155786995.4136796,118333333.33333333,37453662.08034627,0.0,9363415.520086568,28090246.560259704,0.0,146423579.89359304,0.5,0.49982421463414634,0.0,0.0
2049,735579993.6280975,464919413.7840015,41376374.641580485,73500000.0,260006.3719024391,579795788.4255819,155784205.2025156,118333333.33333333,37450871.869182274,0.0,9362717.967295568,28088153.901886705,0.0,146421487.23522004,0.5,0.4998233268292683,0.0,0.0
2050,735578687.0634146,464920970.9162808,41376301.147317074,73500000.0,261312.9365853659,579797272.0635979,155781414.99981666,118333333.33333333,37448081.66648333,0.0,9362020.416620832,28086061.249862496,0.0,146419394.58319584,0.5,0.4998224390243902,0.0,0.0
2051,735578251.5418537,464921489.95849276,41376276.64922927,73500000.0,261748.4581463415,579797766.607722,155780484.93413162,118333333.33333333,37447151.600798294,0.0,9361787.900199573,28085363.70059872,0.0,146418697.03393206,0.5,0.4998221430894309,0.0,0.0
2052,735577816.0202926,464922008.9997642,41376252.151141465,73500000.0,262183.97970731714,579798261.1509056,155779554.86938703,118333333.33333333,37446221.5360537,0.0,9361555.384013426,28084666.152040277,0.0,146417999.48537362,0.5,0.49982184715447153,0.0,0.0
2053,735577380.4987317,464922528.0400949,41376227.653053656,73500000.0,262619.5012682927,579798755.6931486,155778624.80558312,118333333.33333333,37445291.47224979,0.0,9361322.868062448,28083968.604187343,0.0,146417301.93752068,0.5,0.4998215512195122,0.0,0.0
2054,735576944.9771707,464923047.07948494,41376203.15496585,73500000.0,263055.02282926836,579799250.2344508,155777694.7427199,118333333.33333333,37444361.40938656,0.0,9361090.35234664,28083271.05703992,0.0,146416604.39037326,0.5,0.49982125528455285,0.0,0.0
2055,735576509.4556098,464923566.1179345,41376178.65687805,73500000.0,263490.54439024394,579799744.7748126,155776764.68079722,118333333.33333333,37443431.34746389,0.0,9360857.836865973,28082573.51059792,0.0,146415906.84393126,0.5,0.4998209593495935,0.0,0.0
2056,735576073.9340489,464924085.15544355,41376154.158790246,73500000.0,263926.0659512195,579800239.3142338,155775834.6198151,118333333.33333333,37442501.28648178,0.0,9360625.321620446,28081875.964861337,0.0,146415209.29819468,0.5,0.49982066341463416,0.0,0.0
2057,735575638.4124877,464924604.1920117,41376129.66070244,73500000.0,264361.58751219517,579800733.8527142,155774904.55977356,118333333.33333333,37441571.226440236,0.0,9360392.806610059,28081178.419830177,0.0,146414511.75316352,0.5,0.4998203674796748,0.0,0.0
2058,735575202.8909268,464925123.2276397,41376105.162614636,73500000.0,264797.1090731708,579801228.3902543,155773974.50067258,118333333.33333333,37440641.16733925,0.0,9360160.291834813,28080480.875504438,0.0,146413814.20883778,0.5,0.49982007154471547,0.0,0.0
2059,735574767.3693658,464925642.2623268,41376080.66452683,73500000.0,265232.6306341464,579801722.9268537,155773044.44251215,118333333.33333333,37439711.109178826,0.0,9359927.777294707,28079783.33188412,0.0,146413116.66521746,0.5,0.4998197756097561,0.0,0.0
