year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,carbon_costs
2043,938388918.0596604,388754553.2291968,57545904.26090083,73500000.0,19150794.24611552,519800457.49009764,418588460.5695628,122500000.0,296088460.5695628,33668883.22662895,62980698.56230412,199438878.78062972,0.0,347527230.0328677,0.7093366972325743,0.0
2044,924779018.1652327,384867007.69690484,56970445.21829183,73500000.0,18873041.187045563,515337452.91519666,409441565.250036,122500000.0,286941565.250036,17332695.343742464,64706128.77751044,204902741.12878308,0.0,340575589.59002733,0.7022433302602487,0.0
2045,911389314.882954,381018337.61993575,56400740.7661089,73500000.0,18599781.936386816,510919078.3860446,400470236.4969094,122500000.0,277970236.4969094,0.0,66712856.75925825,211257379.73765114,0.0,333757379.7376511,0.6952208969576461,0.0
2046,898215932.7042009,377208154.2437363,55836733.35844781,73500000.0,18330937.402126547,506544887.6021841,391671045.10201675,122500000.0,269171045.10201675,0.0,64601050.82448402,204569994.27753273,0.0,327069994.2775327,0.6882686879880696,0.0
2047,885255068.1789306,373436072.70129895,55278366.02486333,73500000.0,18066429.96283532,502214438.7261623,383040629.4527683,122500000.0,260540629.45276833,0.0,62529751.068664394,198010878.38410392,0.0,320510878.3841039,0.6813860011081889,0.0
2048,872502988.5323579,369701711.97428596,54725582.364614695,73500000.0,17806183.439435877,497927294.3389007,374575694.19345725,122500000.0,252075694.19345725,0.0,60498166.60642973,191577527.58702752,0.0,314077527.58702755,0.6745721410971071,0.0
2049,859956030.3086498,366004694.85454303,54178326.540968545,73500000.0,17550123.06752347,493683021.39551157,366273008.9131382,122500000.0,243773008.9131382,0.0,58505522.13915317,185267486.77398503,0.0,307767486.773985,0.6678264196861359,0.0
2050,847610598.0411133,362344647.90599775,53636543.275558874,73500000.0,17298175.4702268,489481191.18155664,358129406.8595566,122500000.0,235629406.85955662,0.0,56551057.64629359,179078349.21326303,0.0,301578349.21326303,0.6611481554892746,0.0
2051,835463162.9483441,358721201.42693776,53100177.842803285,73500000.0,17050268.63159886,485321379.26974106,350141783.67860305,122500000.0,227641783.67860305,0.0,54634028.08286473,173007755.59573832,0.0,295507755.5957383,0.6545366739343819,0.0
2052,823510261.6558386,355133989.4126683,52569176.064375244,73500000.0,16806331.870527316,481203165.4770435,342307096.1787951,122500000.0,219807096.1787951,0.0,52753703.08291082,167053393.09588426,0.0,289553393.09588426,0.647991307195038,0.0
2053,811748494.9425527,351582649.51854163,52043484.30373149,73500000.0,16566295.815154137,477126133.82227314,334622361.12027955,122500000.0,212122361.12027955,0.0,50909366.66886709,161212994.45141247,0.0,283712994.45141244,0.6415113941230877,0.0
2054,800174526.511924,348066823.0233562,51523049.46069417,73500000.0,16330092.377794368,473089872.4840504,327084654.02787364,122500000.0,204584654.02787364,0.0,49100316.96668967,155484337.06118396,0.0,277984337.0611839,0.6350962801818567,0.0
2055,788785081.7868779,344586154.7931226,51007818.96608723,73500000.0,16097654.730344448,469093973.7592098,319691108.02766806,122500000.0,197191108.02766806,0.0,47325865.92664033,149865242.10102773,0.0,272365242.1010277,0.6287453173800381,0.0
2056,777576946.7283347,341140293.24519145,50497740.77642636,73500000.0,15868917.280170096,465138034.0216178,312438912.70671684,122500000.0,189938912.70671684,0.0,45585339.04961204,144353573.6571048,0.0,266853573.6571048,0.6224578642062378,0.0
2057,766546966.6767663,337728890.3127395,49992763.36866209,73500000.0,15643815.646464618,461221653.6814016,305325312.99536467,122500000.0,182825312.99536467,0.0,43878075.11888752,138947237.87647715,0.0,261447237.87647715,0.6162332855641753,0.0
2058,755692045.2163408,334351601.4096121,49492835.73497547,73500000.0,15422286.63706818,457344437.1445876,298347608.0717532,122500000.0,175847608.0717532,0.0,42203425.93722077,133644182.13453244,0.0,256144182.13453245,0.6100709527085336,0.0
2059,745009143.0612135,331008085.3955159,48997907.37762571,73500000.0,15204268.22573905,453505992.7731416,291503150.2880719,122500000.0,169003150.28807187,0.0,40560756.069137245,128442394.21893463,0.0,250942394.21893463,0.6039702431814482,0.0
2060,734495276.9635264,327698004.5415608,48507928.30384946,73500000.0,14989699.529867887,449705932.8454103,284789344.1181161,122500000.0,162289344.11811608,0.0,38949442.58834786,123339901.52976823,0.0,245839901.52976823,0.5979305407496338,0.0
2061,724147518.642691,324421024.49614525,48022849.02081096,73500000.0,14778520.788626349,445943873.5169562,278203645.1257348,122500000.0,155703645.1257348,0.0,37368874.83017635,118334770.29555845,0.0,240834770.29555845,0.5919512353421374,0.0
2062,713962993.7355329,321176814.2511837,47542620.53060285,73500000.0,14570673.341541488,442219434.78178656,271743558.9537463,122500000.0,149243558.95374632,0.0,35818454.148899116,113425104.80484721,0.0,235925104.8048472,0.5860317229887161,0.0
2063,703938880.7668887,317965046.10867184,47067194.32529683,73500000.0,14366099.607487526,438532240.43396866,265406640.33292007,122500000.0,142906640.33292007,0.0,34297593.67990082,108609046.65301925,0.0,231109046.65301925,0.5801714057588289,0.0
2064,694072410.1402538,314785395.64758515,46596522.38204386,73500000.0,14164743.064086812,434881918.029629,259190492.1106248,122500000.0,136690492.1106248,0.0,32805718.10654995,103884774.00407484,0.0,226384774.00407484,0.5743696917012406,0.0
