year,scenario,wildfire_freq_per_year,wildfire_climate_factor,drought_impact_mean,outage_prob_per_event
2040,ssp245,0.75,1.0,0.0,0.3296799539643607
2041,ssp245,0.75,1.0,0.0,0.3296799539643607
2042,ssp245,0.75,1.0,0.0,0.3296799539643607
2043,ssp245,0.75,1.0,0.0,0.3296799539643607
2044,ssp245,0.75,1.0,0.0,0.3296799539643607
2045,ssp245,0.75,1.0,0.0,0.3296799539643607
2046,ssp245,0.75,1.0,0.0,0.3296799539643607
2047,ssp245,0.75,1.0,0.0,0.3296799539643607
2048,ssp245,0.75,1.0,0.0,0.3296799539643607
2049,ssp245,0.75,1.0,0.0,0.3296799539643607
2050,ssp245,0.75,1.0,0.0,0.3296799539643607
2051,ssp245,0.75,1.0,0.0,0.3296799539643607
2052,ssp245,0.75,1.0,0.0,0.3296799539643607
2053,ssp245,0.75,1.0,0.0,0.3296799539643607
2054,ssp245,0.75,1.0,0.0,0.3296799539643607
2055,ssp245,0.75,1.0,0.0,0.3296799539643607
2056,ssp245,0.75,1.0,0.0,0.3296799539643607
2057,ssp245,0.75,1.0,0.0,0.3296799539643607
2058,ssp245,0.75,1.0,0.0,0.3296799539643607
2059,ssp245,0.75,1.0,0.0,0.3296799539643607
2060,ssp245,0.75,1.0,0.0,0.3296799539643607
2061,ssp245,0.75,1.0,0.0,0.3296799539643607
2062,ssp245,0.75,1.0,0.0,0.3296799539643607
2063,ssp245,0.75,1.0,0.0,0.3296799539643607
2025,ssp585,0.7625,1.0166666666666666,0.0,0.3296799539643607
2026,ssp585,0.7750000000000001,1.0333333333333334,0.0,0.3296799539643607
2027,ssp585,0.7875000000000001,1.05,0.0,0.3296799539643607
2028,ssp585,0.8,1.0666666666666667,0.0,0.3296799539643607
2029,ssp585,0.8125000000000001,1.0833333333333335,0.0,0.3296799539643607
2030,ssp585,0.8250000000000001,1.1,0.0,0.3296799539643607
2031,ssp585,0.8325,1.11,0.0,0.3296799539643607
2032,ssp585,0.8400000000000001,1.12,0.0,0.3296799539643607
2033,ssp585,0.8475000000000001,1.1300000000000001,0.0,0.3296799539643607
2034,ssp585,0.8550000000000001,1.1400000000000001,0.0,0.3296799539643607
2035,ssp585,0.8625,1.1500000000000001,0.0,0.3296799539643607
2036,ssp585,0.8700000000000001,1.1600000000000001,0.0,0.3296799539643607
2037,ssp585,0.8775000000000002,1.1700000000000002,0.0,0.3296799539643607
2038,ssp585,0.8850000000000001,1.1800000000000002,0.0,0.3296799539643607
2039,ssp585,0.8925000000000001,1.1900000000000002,0.0,0.3296799539643607
2040,ssp585,0.9000000000000001,1.2000000000000002,0.0,0.3296799539643607
2041,ssp585,0.9075,1.21,0.0,0.3296799539643607
2042,ssp585,0.915,1.22,0.0,0.3296799539643607
2043,ssp585,0.9225,1.23,0.0,0.3296799539643607
2044,ssp585,0.9299999999999999,1.24,0.0,0.3296799539643607
2045,ssp585,0.9375,1.25,0.0,0.3296799539643607
2046,ssp585,0.9450000000000001,1.26,0.0,0.3296799539643607
2047,ssp585,0.9525,1.27,0.0,0.3296799539643607
2048,ssp585,0.96,1.28,0.0,0.3296799539643607
2049,ssp585,0.9675,1.29,0.0,0.3296799539643607
2050,ssp585,0.9750000000000001,1.3,0.0,0.3296799539643607
2051,ssp585,0.9855,1.314,0.0,0.3296799539643607
2052,ssp585,0.996,1.328,0.0,0.3296799539643607
2053,ssp585,1.0065,1.342,0.0,0.3296799539643607
2054,ssp585,1.0170000000000001,1.356,0.0,0.3296799539643607
2055,ssp585,1.0275,1.37,0.0,0.3296799539643607
2056,ssp585,1.038,1.3840000000000001,0.0,0.3296799539643607
2057,ssp585,1.0485000000000002,1.3980000000000001,0.0,0.3296799539643607
2058,ssp585,1.059,1.412,0.0,0.3296799539643607
2059,ssp585,1.0695000000000001,1.4260000000000002,0.0,0.3296799539643607
2060,ssp585,1.08,1.44,0.0,0.3296799539643607
2061,ssp585,1.0905,1.454,0.0,0.3296799539643607
2062,ssp585,1.101,1.468,0.0,0.3296799539643607
2063,ssp585,1.1115,1.482,0.0,0.3296799539643607
